net name,weighted error
egg-fullsize-pt-presample-compare-2021-03-23_retrain_10__FCRN_A_Yang-Lab-Dell3_2021-04-13 16-57-20.775371_150epochs,4.307544555
egg-fullsize-pt-presample-compare-2021-03-23_retrain_5__FCRN_A_Yang-Lab-Dell3_2021-04-13 13-45-19.448657_150epochs,4.249331465
egg-fullsize-pt-presample-compare-2021-03-23_retrain_15__FCRN_A_Yang-Lab-Dell8_2021-04-14 01-01-01.307204_150epochs,3.059656162
egg-fullsize-pt-presample-compare-2021-03-23_retrain_0__FCRN_A_NZXT-U_2021-04-14 03-53-58.305586_150epochs,3.581393468
egg-fullsize-pt-presample-compare-2021-03-23_retrain_23__FCRN_A_Yang-Lab-Dell4_2021-04-13 13-40-53.479807_150epochs,3.833102963
egg-fullsize-pt-presample-compare-2021-03-23_retrain_9__FCRN_A_Yang-Lab-Dell8_2021-04-13 21-02-39.292078_150epochs,3.864373564
egg-fullsize-pt-presample-compare-2021-03-23_retrain_17__FCRN_A_Yang-Lab-Dell4_2021-04-13 20-20-51.178007_150epochs,3.934840151
egg-fullsize-pt-presample-compare-2021-03-23_retrain_11__FCRN_A_NZXT-U_2021-04-13 17-15-07.446852_150epochs,4.418217313
egg-fullsize-pt-presample-compare-2021-03-23_retrain_4__FCRN_A_Yang-Lab-Dell3_2021-04-13 23-21-18.548291_150epochs,3.032954962
egg-fullsize-pt-presample-compare-2021-03-23_retrain_2__FCRN_A_Yang-Lab-Dell8_2021-04-14 04-00-50.542338_150epochs,4.301124862
egg-fullsize-pt-presample-compare-2021-03-23_retrain_22__FCRN_A_Yang-Lab-Dell8_2021-04-14 03-00-48.051518_150epochs,4.343141396
egg-fullsize-pt-presample-compare-2021-03-23_retrain_8__FCRN_A_Yang-Lab-Dell8_2021-04-13 18-02-33.506019_150epochs,6.346654647
egg-fullsize-pt-presample-compare-2021-03-23_retrain_21__FCRN_A_Yang-Lab-Dell8_2021-04-13 23-01-45.494453_150epochs,6.29508979
egg-fullsize-pt-presample-compare-2021-03-23_retrain_1__FCRN_A_Yang-Lab-Dell4_2021-04-13 23-40-56.101702_150epochs,3.93504439
egg-fullsize-pt-presample-compare-2021-03-23_retrain_19__FCRN_A_Yang-Lab-Dell8_2021-04-13 19-02-49.799552_150epochs,3.217364809
egg-fullsize-pt-presample-compare-2021-03-23_retrain_3__FCRN_A_NZXT-U_2021-04-14 00-19-19.587092_150epochs,3.370297123
egg-fullsize-pt-presample-compare-2021-03-23_retrain_6__FCRN_A_Yang-Lab-Dell8_2021-04-13 22-02-07.731494_150epochs,3.55472639
egg-fullsize-pt-presample-compare-2021-03-23_retrain_20__FCRN_A_Yang-Lab-Dell4_2021-04-14 03-01-06.133066_150epochs,3.06887474
egg-fullsize-pt-presample-compare-2021-03-23_retrain_24__FCRN_A_NZXT-U_2021-04-13 13-37-44.571446_150epochs,3.706484318
egg-fullsize-pt-presample-compare-2021-03-23_FCRN_A_Yang-Lab-Dell3_2021-04-21 01-26-48.368902_300epochs,4.663429015
egg-fullsize-pt-presample-compare-2021-03-23_FCRN_A_NZXT-U_2021-04-20 12-30-52.177403_300epochs,3.856281048
egg-fullsize-pt-presample-compare-2021-03-23_FCRN_A_Yang-Lab-Dell8_2021-04-20 16-08-38.445462_300epochs,4.453047735
egg-fullsize-pt-presample-compare-2021-03-23_FCRN_A_Yang-Lab-Dell3_2021-04-20 12-47-09.481883_300epochs,3.092098979
egg-fullsize-pt-presample-compare-2021-03-23_FCRN_A_Yang-Lab-Dell8_2021-04-20 18-02-50.911089_300epochs,3.019081389
egg-fullsize-pt-presample-compare-2021-03-23_FCRN_A_Yang-Lab-Dell4_2021-04-20 12-38-38.029039_300epochs,4.193576864
egg-fullsize-pt-presample-compare-2021-03-23_FCRN_A_Yang-Lab-Dell8_2021-04-20 19-57-02.074742_300epochs,4.803253935
egg-fullsize-pt-presample-compare-2021-03-23_FCRN_A_Yang-Lab-Dell4_2021-04-20 19-18-37.568206_300epochs,4.227727737
egg-fullsize-pt-presample-compare-2021-03-23_FCRN_A_Yang-Lab-Dell8_2021-04-20 23-45-51.616408_300epochs,4.160616108
egg-fullsize-pt-presample-compare-2021-03-23_FCRN_A_Yang-Lab-Dell3_2021-04-20 19-09-05.660950_300epochs,5.438247805
egg-fullsize-pt-presample-compare-2021-03-23_FCRN_A_Yang-Lab-Dell4_2021-04-21 01-58-14.773867_300epochs,3.423028694
egg-fullsize-pt-presample-compare-2021-03-23_FCRN_A_Yang-Lab-Dell8_2021-04-20 12-20-07.084843_300epochs,5.70131882
egg-fullsize-pt-presample-compare-2021-03-23_FCRN_A_Yang-Lab-Dell8_2021-04-21 01-40-15.701021_300epochs,3.403114705
egg-fullsize-pt-presample-compare-2021-03-23_FCRN_A_Yang-Lab-Dell8_2021-04-20 14-14-28.967299_300epochs,6.139086256
egg-fullsize-pt-presample-compare-2021-03-23_FCRN_A_Yang-Lab-Dell8_2021-04-21 03-34-42.120198_300epochs,5.118709423
egg-fullsize-pt-presample-compare-2021-03-23_FCRN_A_Yang-Lab-Dell8_2021-04-20 21-51-19.286742_300epochs,4.274554345
egg-fullsize-pt-presample-compare-2021-03-23_FCRN_A_NZXT-U_2021-04-20 19-47-58.498557_300epochs,2.996119558
egg-fullsize-pt-presample-compare-2021-03-23_FCRN_A_Yang-Lab-Dell8_2021-04-27 14-18-57.463968_300epochs,3.236273202
egg-fullsize-pt-presample-compare-2021-03-23_FCRN_A_Yang-Lab-Dell8_2021-04-27 21-56-56.633880_300epochs,4.661641578
egg-fullsize-pt-presample-compare-2021-03-23_FCRN_A_Yang-Lab-Dell8_2021-04-27 10-29-12.071889_300epochs,3.452332941
egg-fullsize-pt-presample-compare-2021-03-23_FCRN_A_Yang-Lab-Dell8_2021-04-28 07-29-00.403909_300epochs,3.495756067
egg-fullsize-pt-presample-compare-2021-03-23_FCRN_A_Yang-Lab-Dell8_2021-04-28 05-34-40.378517_300epochs,3.530276812
egg-fullsize-pt-presample-compare-2021-03-23_FCRN_A_Yang-Lab-Dell8_2021-04-27 20-02-24.907127_300epochs,4.731060373
egg-fullsize-pt-presample-compare-2021-03-23_FCRN_A_NZXT-U_2021-04-27 17-34-42.127887_300epochs,4.004524374
egg-fullsize-pt-presample-compare-2021-03-23_FCRN_A_Yang-Lab-Dell8_2021-04-27 23-51-23.331063_300epochs,3.230869771
egg-fullsize-pt-presample-compare-2021-03-23_FCRN_A_Yang-Lab-Dell8_2021-04-27 16-13-33.935582_300epochs,4.218740197
egg-fullsize-pt-presample-compare-2021-03-23_FCRN_A_Yang-Lab-Dell8_2021-04-27 18-08-01.341931_300epochs,5.182275383
egg-fullsize-pt-presample-compare-2021-03-23_FCRN_A_Yang-Lab-Dell8_2021-04-28 03-40-08.233151_300epochs,3.922292102
egg-fullsize-pt-presample-compare-2021-03-23_FCRN_A_Yang-Lab-Dell8_2021-04-28 01-45-50.285034_300epochs,4.800346685
egg-fullsize-pt-presample-compare-2021-03-23_FCRN_A_NZXT-U_2021-04-28 00-37-01.656729_300epochs,4.505253149
egg-fullsize-pt-presample-compare-2021-03-23_FCRN_A_Yang-Lab-Dell8_2021-04-29 19-42-41.821728_300epochs,5.538649936
egg-fullsize-pt-presample-compare-2021-03-23_FCRN_A_Yang-Lab-Dell8_2021-04-30 02-27-15.699965_300epochs,5.486281048
egg-fullsize-pt-presample-compare-2021-03-23_FCRN_A_Yang-Lab-Dell4_2021-04-29 13-08-14.021792_300epochs,5.881037371
egg-fullsize-pt-presample-compare-2021-03-23_FCRN_A_Yang-Lab-Dell3_2021-04-29 13-12-31.691942_300epochs,5.155199566
egg-fullsize-pt-presample-compare-2021-03-23_FCRN_A_Yang-Lab-Dell8_2021-04-29 12-58-37.538646_300epochs,4.675554681
egg-fullsize-pt-presample-compare-2021-03-23_FCRN_A_Yang-Lab-Dell2_2021-04-29 13-06-07.996193_300epochs,3.566697686
egg-fullsize-pt-presample-compare-2021-03-23_FCRN_A_Yang-Lab-Dell4_2021-05-02 07-27-35.851945_300epochs,4.104903269
egg-fullsize-pt-presample-compare-2021-03-23_FCRN_A_Yang-Lab-Dell8_2021-05-01 14-08-15.597701_300epochs,5.269812705
egg-fullsize-pt-presample-compare-2021-03-23_FCRN_A_NZXT-U_2021-04-30 17-59-24.738864_300epochs,4.520717409
egg-fullsize-pt-presample-compare-2021-03-23_FCRN_A_Yang-Lab-Dell4_2021-05-01 18-59-01.959118_300epochs,4.555648007
egg-fullsize-pt-presample-compare-2021-03-23_FCRN_A_NZXT-U_2021-05-01 17-45-17.562582_300epochs,4.65234876
egg-fullsize-pt-presample-compare-2021-03-23_FCRN_A_Yang-Lab-Dell3_2021-05-01 18-41-36.478880_300epochs,6.034341107
egg-fullsize-pt-presample-compare-2021-03-23_FCRN_A_Yang-Lab-Dell8_2021-05-01 07-24-14.154471_300epochs,3.851219619
egg-fullsize-pt-presample-compare-2021-03-23_FCRN_A_Yang-Lab-Dell8_2021-05-01 20-51-16.689872_300epochs,5.795040608
egg-fullsize-pt-presample-compare-2021-03-23_FCRN_A_Yang-Lab-Dell8_2021-05-02 23-45-44.712869_300epochs,5.403850671
egg-fullsize-pt-presample-compare-2021-03-23_FCRN_A_Yang-Lab-Dell8_2021-05-02 17-02-15.575267_300epochs,5.042629444
egg-fullsize-pt-presample-compare-2021-03-23_FCRN_A_Yang-Lab-Dell3_2021-04-30 18-01-54.043537_300epochs,6.133122028
egg-fullsize-pt-presample-compare-2021-03-23_FCRN_A_Yang-Lab-Dell8_2021-04-30 17-55-07.566877_300epochs,5.876656168
egg-fullsize-pt-presample-compare-2021-03-23_FCRN_A_Yang-Lab-Dell3_2021-05-01 06-21-18.679017_300epochs,3.85754926
egg-fullsize-pt-presample-compare-2021-03-23_FCRN_A_Yang-Lab-Dell3_2021-05-02 07-01-24.488179_300epochs,7.167682283
egg-fullsize-pt-presample-compare-2021-03-23_FCRN_A_NZXT-U_2021-05-01 05-52-58.105076_300epochs,5.489408292
egg-fullsize-pt-presample-compare-2021-03-23_FCRN_A_NZXT-U_2021-05-02 17-32-42.301259_300epochs,7.694952482
egg-fullsize-pt-presample-compare-2021-03-23_FCRN_A_Yang-Lab-Dell4_2021-05-01 06-28-19.056697_300epochs,4.365282897
egg-fullsize-pt-presample-compare-2021-03-23_FCRN_A_NZXT-U_2021-05-02 05-38-51.339255_300epochs,4.844599696
egg-fullsize-pt-presample-compare-2021-03-23_FCRN_A_Yang-Lab-Dell8_2021-05-02 10-18-11.803718_300epochs,5.013037135
egg-fullsize-pt-presample-compare-2021-03-23_FCRN_A_Yang-Lab-Dell4_2021-04-30 17-57-38.067329_300epochs,4.482321924
egg-fullsize-pt-presample-compare-2021-03-23_FCRN_A_Yang-Lab-Dell8_2021-05-02 03-35-19.456452_300epochs,5.748877157
egg-fullsize-pt-presample-compare-2021-03-23_FCRN_A_Yang-Lab-Dell2_2021-04-30 17-56-19.895130_300epochs,4.045767249
egg-fullsize-pt-presample-compare-2021-03-23_FCRN_A_Yang-Lab-Dell8_2021-05-01 00-40-13.415408_300epochs,3.003327452
egg-fullsize-pt-presample-compare-2021-03-23_FCRN_A_Yang-Lab-Dell4_2021-05-02 19-55-10.178883_300epochs,6.186528803
egg-fullsize-pt-presample-compare-2021-03-23_FCRN_A_Yang-Lab-Dell8_2021-05-04 18-35-47.150979_300epochs,3.771372671
egg-fullsize-pt-presample-compare-2021-03-23_FCRN_A_Yang-Lab-Dell8_2021-05-04 20-56-15.175326_300epochs,4.721431358
egg-fullsize-pt-presample-compare-2021-03-23_FCRN_A_Yang-Lab-Dell8_2021-05-04 16-16-45.620660_300epochs,3.270933417
egg-fullsize-pt-presample-compare-2021-03-23_FCRN_A_Yang-Lab-Dell8_2021-05-05 03-54-26.557004_300epochs,2.967332561
egg-fullsize-pt-presample-compare-2021-03-23_FCRN_A_Yang-Lab-Dell8_2021-05-05 06-13-51.641788_300epochs,3.907625007
egg-fullsize-pt-presample-compare-2021-03-23_FCRN_A_Yang-Lab-Dell4_2021-05-04 23-16-32.742111_300epochs,3.923227889
egg-fullsize-pt-presample-compare-2021-03-23_FCRN_A_Yang-Lab-Dell8_2021-05-04 23-15-16.984332_300epochs,4.006465066
egg-fullsize-pt-presample-compare-2021-03-23_FCRN_A_Yang-Lab-Dell2_2021-05-04 16-27-37.518301_300epochs,5.207937389
egg-fullsize-pt-presample-compare-2021-03-23_FCRN_A_Yang-Lab-Dell8_2021-05-05 01-35-05.643489_300epochs,3.10419634
egg-fullsize-pt-presample-compare-2021-03-23_FCRN_A_Yang-Lab-Dell3_2021-05-04 23-05-46.129713_300epochs,3.015527316
