net name,weighted error
egg-fullsize-pt-presample-compare-2021-03-23_FCRN_A_300epochs_Yang-Lab-Dell4_2021-04-06 22-04-14.239785,6.877068005
egg-fullsize-pt-presample-compare-2021-03-23_FCRN_A_300epochs_Yang-Lab-Dell8_2021-04-07 02-59-18.631056,3.010836745
egg-fullsize-pt-presample-compare-2021-03-23_FCRN_A_300epochs_Yang-Lab-Dell8_2021-04-07 04-54-07.856518,3.028228189
egg-fullsize-pt-presample-compare-2021-03-23_FCRN_A_300epochs_Yang-Lab-Dell8_2021-04-07 08-43-38.406086,3.948597459
egg-fullsize-pt-presample-compare-2021-03-23_FCRN_A_300epochs_Yang-Lab-Dell4_2021-04-07 04-34-17.973013,3.201446966
egg-fullsize-pt-presample-compare-2021-03-23_FCRN_A_300epochs_Yang-Lab-Dell8_2021-04-07 06-48-49.175290,2.936955609
egg-fullsize-pt-presample-compare-2021-03-23_FCRN_A_300epochs_Yang-Lab-Dell8_2021-04-06 17-25-23.255445,5.541399669
egg-fullsize-pt-presample-compare-2021-03-23_FCRN_A_300epochs_Yang-Lab-Dell8_2021-04-06 21-14-45.602569,2.449536344
egg-fullsize-pt-presample-compare-2021-03-23_FCRN_A_300epochs_Yang-Lab-Dell8_2021-04-06 19-20-05.422915,4.721233318
egg-fullsize-pt-presample-compare-2021-03-23_FCRN_A_300epochs_Yang-Lab-Dell8_2021-04-07 01-04-39.897320,3.5392391
egg-fullsize-pt-presample-compare-2021-03-23_FCRN_A_300epochs_NZXT-U_2021-04-07 06-02-50.650847,3.273210941
egg-fullsize-pt-presample-compare-2021-03-23_FCRN_A_300epochs_Yang-Lab-Dell3_2021-04-07 04-24-19.358373,3.734782001
egg-fullsize-pt-presample-compare-2021-03-23_FCRN_A_300epochs_Yang-Lab-Dell3_2021-04-06 22-02-25.839100,4.125506393
egg-fullsize-pt-presample-compare-2021-03-23_FCRN_A_300epochs_Yang-Lab-Dell8_2021-04-06 23-09-47.272106,3.167476669
egg-fullsize-pt-presample-compare-2021-03-23_FCRN_A_300epochs_Yang-Lab-Dell2_2021-04-07 05-07-03.996085,2.803086074
egg-fullsize-pt-presample-compare-2021-03-23_retrain_14__FCRN_A_NZXT-U_2021-04-12 21-33-26.779784_150epochs,2.999633043
egg-fullsize-pt-presample-compare-2021-03-23_retrain_25__FCRN_A_Yang-Lab-Dell8_2021-04-13 00-00-16.547471_150epochs,3.420124604
egg-fullsize-pt-presample-compare-2021-03-23_retrain_24__FCRN_A_Yang-Lab-Dell8_2021-04-13 01-54-39.451548_150epochs,2.793841791
egg-fullsize-pt-presample-compare-2021-03-23_retrain_22__FCRN_A_Yang-Lab-Dell8_2021-04-13 04-46-07.858146_150epochs,3.45641725
egg-fullsize-pt-presample-compare-2021-03-23_retrain_21__FCRN_A_Yang-Lab-Dell8_2021-04-12 19-14-14.533570_150epochs,4.263008277
egg-fullsize-pt-presample-compare-2021-03-23_retrain_3__FCRN_A_Yang-Lab-Dell8_2021-04-12 13-59-28.060373_150epochs,3.66886452
egg-fullsize-pt-presample-compare-2021-03-23_retrain_17__FCRN_A_Yang-Lab-Dell3_2021-04-13 06-29-41.496743_150epochs,3.000183139
egg-fullsize-pt-presample-compare-2021-03-23_retrain_23__FCRN_A_Yang-Lab-Dell3_2021-04-13 03-18-58.049840_150epochs,2.884025584
egg-fullsize-pt-presample-compare-2021-03-23_retrain_20__FCRN_A_Yang-Lab-Dell8_2021-04-12 23-03-05.519903_150epochs,3.009725677
egg-fullsize-pt-presample-compare-2021-03-23_retrain_13__FCRN_A_Yang-Lab-Dell3_2021-04-12 20-54-12.438385_150epochs,2.732112935
egg-fullsize-pt-presample-compare-2021-03-23_retrain_8__FCRN_A_NZXT-U_2021-04-13 04-48-37.502124_150epochs,3.008065288
egg-fullsize-pt-presample-compare-2021-03-23_retrain_4__FCRN_A_Yang-Lab-Dell3_2021-04-13 00-06-40.695950_150epochs,3.013696661
egg-fullsize-pt-presample-compare-2021-03-23_retrain_19__FCRN_A_Yang-Lab-Dell8_2021-04-13 03-48-53.817400_150epochs,2.656329187
egg-fullsize-pt-presample-compare-2021-03-23_retrain_18__FCRN_A_Yang-Lab-Dell8_2021-04-13 00-57-29.049529_150epochs,2.747600882
egg-fullsize-pt-presample-compare-2021-03-23_retrain_1__FCRN_A_Yang-Lab-Dell8_2021-04-12 20-11-27.755189_150epochs,3.102710164
egg-fullsize-pt-presample-compare-2021-03-23_retrain_11__FCRN_A_Yang-Lab-Dell4_2021-04-12 17-44-39.412314_150epochs,3.188332214
egg-fullsize-pt-presample-compare-2021-03-23_retrain_9__FCRN_A_Yang-Lab-Dell4_2021-04-13 00-24-52.298362_150epochs,3.393790554
egg-fullsize-pt-presample-compare-2021-03-23_retrain_6__FCRN_A_Yang-Lab-Dell4_2021-04-13 03-44-58.311905_150epochs,3.759496194
egg-fullsize-pt-presample-compare-2021-03-23_retrain_5__FCRN_A_Yang-Lab-Dell4_2021-04-12 21-04-43.875908_150epochs,3.154973134
egg-fullsize-pt-presample-compare-2021-03-23_retrain_0__FCRN_A_Yang-Lab-Dell3_2021-04-12 17-40-31.783844_150epochs,3.345704492
egg-fullsize-pt-presample-compare-2021-03-23_retrain_15__FCRN_A_Yang-Lab-Dell4_2021-04-13 07-04-59.390711_150epochs,2.762010403
egg-fullsize-pt-presample-compare-2021-03-23_retrain_10__FCRN_A_Yang-Lab-Dell8_2021-04-12 22-05-50.891427_150epochs,3.503774374
egg-fullsize-pt-presample-compare-2021-03-23_retrain_2__FCRN_A_NZXT-U_2021-04-12 17-55-31.813718_150epochs,3.769191532
